,Kanji,Word,Meaning
45,英才,えいさい,ผู้มีสติปัญญาเป็นเลิศ
46,英姿,えいし,ร่างอันทรนงองอาจ
47,衛視,えいし,เจ้าหน้าที่รักษาความสงบในรัฐสภา
48,嬰児,えいじ,"ทารก,เด็กอ่อน,เด็กเล็ก(ไม่เกิน 3 ขวบ)"
49,英字,えいじ,ตัวอักษรภาษาอังกฤษ
50,映写,えいしゃ,การฉายภาพยนตร์หรือสไลด์
51,映写機,えいしゃき,"เครื่องโปรเจคเตอร์,เครื่องฉายหนัง"
52,映写室,えいしゃしつ,ห้องฉายหนัง
53,永住,えいじゅう,การตั้งหลักแหล่งอย่างถาวร
54,永住ビザ,えいじゅうビザ,วีซ่าถาวร วีซ่าตลอดชีพ
55,詠出,えいしゅつ,ประพันธ์(บทกวี)
56,詠唱,えいしょう,ขับร้อง(บทกวี)
57,栄進,えいしん,"การส่งเสริมให้เจริญก้าวหน,การพัฒนารุ่งเรือง"
58,詠ずる,えいずる,"ประพันธ์,ร้อยกรอง,ขับ(บทกวี)"
59,永世,えいせい,อมตะ
60,永生,えいせい,อมตะ
61,衛星,えいせい,"ดาวเทียม,ดาวบริวาร"
62,衛生,えいせい,อนามัย
63,衛生学,えいせいがく,สุขภาพศาสตร์
64,衛生局,えいせいきょく,กรมอนามัย
65,衛生検査技学部,えいせいけんさぎがくぶ,คณะเทคนิคการแพทย์
66,衛星中継,えいせいちゅうけい,การถ่ายทอดผ่านดาวเทียม
67,永世中立,えいせいちゅうりつ,การเป็นกลางอย่างถาวร
68,衛生的,えいせいてき,"ถูกสุขลักษณะ,ถูกอนามัย"
69,衛生陶器,えいせいとうき,สุขภัณฑ์
70,衛星放送,えいせいほうそう,การถ่ายทอดผ่านดาวเทียม เรียกได้อีกอย่างว่า CS放送
71,営繕,えいぜん,การซ่อมบำรุง
72,営倉,えいそう,คุกในค่ายทหารญี่ปุ่นในอดีต
73,営巣,えいそう,การทำรัง
74,営造,えいぞう,การก่อสร้างโครงการใหญ่
75,影像,えいぞう,"ภาพที่ปรากฏบนจอหรือเลนส์,เงาสะท้อนในกระจกหรือบนผิวน้ำ,ภาพในใจ"
76,映像,えいぞう,"1.ภาพเหมือน,รูปปั้น 2.ภาพเคลื่อนไหว วีดีโอ 3.อิมเมจ ภาพ (ที่ลอยขึ้นมาในหัว)"
77,永続,えいぞく,การดำรงอยู่ตลอดไป
78,永代,えいたい,"อย่างถาวร,ตลอดไป"
79,栄達,えいたつ,การเลื่อนตำแหน่ง
80,詠嘆,えいたん,การอุทานด้วยความทึ่งหรือชื่นชม
81,詠歎,えいたん,การอุทานด้วยความทึ่งหรือชื่นชม
82,営団,えいだん,องค์กรภายใต้ควบคุมของรัฐในสมัยสงครามโลกครั้งที่ 2 ปัจจุบันเหลือเพียงบริษัทรถไฟใต้ดิน (ในประเทศญี่ปุ่น)
83,英断,えいだん,การกล้าตัดสินใจ
84,栄典,えいてん,"เหรียญตรา,ยศศักดิ์,เครื่องราชอิสริยาภรณ์"
85,栄転,えいてん,การไปรับตำแหน่งที่สูงขึ้นในต่างสาขา
86,英独,えいどく,อังกฤษและเยอรมัน
87,英トン,えいトン,น้ำหนัก ตัน ของอังกฤษ = 2240 ปอนด์ หรือ 1016 กิโลกรัม
88,英噸,えいとん,น้ำหนัก ตัน ของอังกฤษ = 2240 ปอนด์ หรือ 1016 กิโลกรัม
89,英屯,えいとん,น้ำหนัก ตัน ของอังกฤษ = 2240 ปอนด์ หรือ 1016 กิโลกรัม
90,永年,えいねん,นานปี
91,営農,えいのう,"การทำนาทำไร่,การจัดการเกษตรกรรม"
92,鋭敏,えいびん,"เฉียบแหลม,หัวไว,ไหวพริบดี"
93,英仏,えいふつ,อังกฤษและฝรั่งเศส
94,英仏海峡,えいふつかいきょう,ช่องแคบอังกฤษ
95,英文,えいぶん,ประโยคในภาษาอังกฤษ
96,英文学,えいぶんがく,วรรณคดีอังกฤษ
97,英文法,えいぶんぽう,ไวยากรณ์อังกฤษ
98,衛兵,えいへい,ทหารยาม
99,英米,えいべい,อังกฤษและอเมริกา
100,英米人,えいべいじん,ชาวอังกฤษและชาวอเมริกัน
101,永別,えいべつ,"ตายจากกัน,จากกันชั่วนิรันดร์"
102,泳法,えいほう,"วิธีการว่ายน้ำ,ท่าว่ายน้ำ"
103,英法,えいほう,กฎหมายของอังกฤษ
104,鋭鋒,えいほう,"ปลายแหลม,การโจมตีอย่างรุนแรง"
105,永眠,えいみん,หลับชั่วนิรันดร์(เสียชีวิต)
106,英明,えいめい,"ฉลาดเลิศ,ปราดเปรื่อง"
107,英訳,えいやく,การแปลเป็นภาษาอังกฤษ
108,英雄,えいゆう,วีรบุรุษ
109,栄誉,えいよ,"เกียรติยศ,เกียรติศักดิ์"
110,栄養,えいよう,"คุณค่าทางอาหาร,ธาตุอาหาร,การบำรุงร่างกาย"
111,栄耀栄華,えいようえいが,"หรูหรา,ฟู่ฟ่า,รุ่งเรือง"
112,栄養学者,えいようがくしゃ,"นักโภชนาการ,ผู้เชี่ยวชาญด้านโภชนาการ"
113,栄養失調,えいようしっちょう,โรคขาดสารอาหาร
114,営利,えいり,"การหวังผลกำไร,การหวังผลประโยชน์ทางธุรกิจ"
115,鋭利,えいり,"คมกริบ,เฉียบแหลม,ไหวพริบดี"
116,映倫,えいりん,คณะกรรมการพิจารณาภาพยนตร์
117,営林局,えいりんきょく,กรมป่าไม้
118,英霊,えいれい,วิญญาณของวีรชน
119,英和,えいわ,อังกฤษและญี่ปุ่น
120,英和辞典,えいわじてん,พจนานุกรมอังกฤษ-ญี่ปุ่น
121,詠ずる,えうずる,"ประพันธ์,ร้อยกรอง"
122,ええ,ええ,"ครับ,ค่ะ,อืม"
123,ええと,ええと,เอ่อ   คือว่า
124,笑顔,えがお,ใบหน้ายิ้มแย้ม
125,絵描き,えかき,"จิตรกร,นักวาดรูป"
126,描く,えがく,"วาด,เขียน(รูป)"
127,画く,えがく,"วาด,เขียน(รูป)"
128,得難い,えがたい,"หายาก,ยากจะได้มา"
129,絵柄,えがら,"1.ลวดลายบนผืนผ้า,งานศิลปหัตถกรรม 2.หน้า หรือ ภาพในตู้สล๊อต"
130,液,えき,ของเหลว
131,益,えき,"คุณประโยชน์,กำไร"
132,"<a href=""/dictionary/show/3488"">駅</a>",えき,สถานีรถไฟ
133,駅員,えきいん,พนักงานสถานีรถไฟ
134,液化,えきか,การกลายสภาพเป็นของเหลว
135,易学,えきがく,โหราศาสตร์
136,疫学,えきがく,"การศึกษาเรื่องการแพร่ของโรคระบาด ตลอดจนผลกระทบต่าง ๆ ต่อสุขภาพของชุมชน,ระบาดวิทยา"
137,疫学者,えきがくしゃ,นักระบาดวิทยา
138,益金,えききん,เงินกำไร
139,液剤,えきざい,"ยาน้ำ,น้ำยา"
140,易者,えきしゃ,หมอดู
141,駅舎,えきしゃ,อาคารสถานีรถไฟ
142,液晶,えきしょう,"ผลึกเหลว,สารโปร่งแสงกึ่งแข็งกึ่งเหลว,ลิควิดคริสตอล"
143,液状,えきじょう,สภาวะของเหลว
144,液晶ディスプレイ,えきしょうディスプレイ,"จอภาพผลึกเหลว,จอ LCD"
145,液晶テレビ,えきしょうテレビ,ทีวีจอแอลซีดี
146,液体,えきたい,ของเหลว
147,易断,えきだん,"การดูดวง,การทำนายทายทัก"
148,役畜,えきちく,สัตว์ที่เลี้ยงไว้ใช้งาน
149,益虫,えきちゅう,แมลงที่ให้คุณประโยชน์
150,益鳥,えきちょう,นกที่ให้คุณประโยชน์
151,駅長,えきちょう,นายสถานี
152,駅伝,えきでん,การแข่งขันวิ่งผลัดระยะไกล
153,駅伝競走,えきでんきょうそう,การแข่งขันวิ่งผลัดระยะไกล
154,駅頭,えきとう,หน้าสถานีรถไฟ
155,駅止め,えきどめ,การส่งสินค้าทางรถไฟ โดยให้ผู้รับมารับของที่สถานีปลายทาง
156,駅留め,えきどめ,การส่งสินค้าทางรถไฟ โดยให้ผู้รับมารับของที่สถานีปลายทาง
157,疫病,えきびょう,โรคระบาด
158,駅弁,えきべん,1.อาหารกล่องที่ขายบริเวณสถานีรถไฟ หรือ ในรถไฟ 2.ท่าลิงอุ้มแตง (ท่าตอนมีเพศสัมพันธ์)
159,駅前,えきまえ,ด้านหน้าสถานีรถไฟ
160,役務,えきむ,"งานบริการ,การบริการ"
161,役務賠償,えきむばいしょう,การทำงานหรือใช้แรงงานเพื่อชดใช้ค่าเสียหาย
162,役務費,えきむひ,ค่าบริการ
163,疫痢,えきり,โรคบิดที่เกิดในเด็ก
164,笑窪,えくぼ,ลักยิ้ม
165,靨,えくぼ,ลักยิ้ม
166,抉る,えぐる,"คว้าน,ใช้มีดขูดเป็นหลุม,จับตรงประเด็น"
167,えげつない,えげつない,"1.น่ารังเกียจ,ทุเรศ 2.โจ๋งครึ่ม 3.สุดตรีน (ตอนรู้สึกเกินคาด,เหลือเชื่อว่าจะทำได้)"
168,餌,えさ,"อาหารสัตว์,เหยื่อ,เหยื่อล่อ"
169,餌食,えじき,"เหยื่อ,เป้าโจมตี หรือ ทำร้าย "
170,"<a href=""/dictionary/show/3543"">会釈</a>",えしゃく,การผงกศีรษะทักทาย
171,枝,えだ,"กิ่ง,ก้าน"
172,枝豆,えだまめ,"ถั่วเขียว,ถั่วแระ(ที่ญี่ปุ่นนิยมต้มเกลือทานเป็นกับแกล้มเบียร์)"
173,えっ,えっ,เอ๊ะ
174,越,えつ,"เกิน,ข้าม"
175,閲,えつ,"ดู,ตรวจตรา,ผ่านไป"
176,越境,えっきょう,"การข้ามแดน,การล้ำแดน,การล่วงล้ำอาณาเขต"
177,越権,えっけん,การใช้สิทธิอำนาจเกินขอบเขต
178,越冬,えっとう,"การไปพักที่ใดที่หนึ่งระหว่างฤดูหนาว,การใช้ชีวิตในช่วงฤดูหนาว"
179,閲読,えつどく,"การอ่าน,การอ่านอย่างพินิจพิจารณา"
180,越年,えつねん,"การส่งท้ายปีเก่าต้อนรับปีใหม่,(พืช)ที่มีอายุเพียงสองปี"
181,閲兵,えっぺい,การตรวจแถวทหาร
182,悦楽,えつらく,"เปรมปรีดิ์,เริงร่า,ปิติ"
183,閲覧,えつらん,การอ่านค้นคว้า การดูเว็บไซต์
184,閲覧室,えつらんしつ,ห้องสำหรับอ่านค้นคว้า
185,閲歴,えつれき,ประวัติ (ของคน)
186,得手,えて,"ถนัด,เห็นแก่ตัว"
187,干支,えと,"12 นักษัตร,12 ราศี"
188,江戸,えど,สมัยเอโดะ ชื่อเมืองหลวงเก่าของโตเกียว
189,会得,えとく,การเรียนรู้อย่างเข้าถึงแก่น
190,絵の具,えのぐ,สี(สำหรับวาดภาพ)
191,絵はがき,えはがき,โปสการ์ด
192,絵葉書,えはがき,แผ่นภาพที่เป็นไปรษณียบัตรหรือโปสการ์ด
193,海老,えび,กุ้ง
194,蝦,えび,กุ้ง
195,えびのすり身,えびのすりみ,ลูกชิ้นกุ้ง
196,愛媛県,えひめけん,จังหวัดเอะฮิเมะ
197,えへん,えへん,แฮ่ม
198,絵本,えほん,หนังสือรูปภาพ
199,絵馬,えま,แผ่นไม้รูปม้า ใช้เขียนคำอธิษฐานในศาลเจ้าและวัด
200,絵巻,えまき,ภาพวาดที่มีลักษณะเป็นม้วนยาว
201,絵巻物,えまきもの,ภาพวาดที่มีลักษณะเป็นม้วนยาว
202,笑む,えむ,ยิ้ม
203,獲物,えもの,"สัตว์ที่ล่าได้,สิ่งที่ปล้นหรือยึดมาได้"
204,偉い,えらい,"1.ยิ่งใหญ่ 2.เป็นใหญ่,ใหญ่โต,โอหัง,ลำพอง,อวดดี 3. เก่ง น่ายกย่อง"
205,"<a href=""/dictionary/show/3621"">選ぶ</a>",えらぶ,"เลือก,คัดเลือก"
206,選べる,えらべる,เลือกได้
207,衿,えり,"ปกเสื้อ,คอเสื้อ"
208,襟,えり,"ปกเสื้อ,คอเสื้อ"
209,襟足,えりあし,"ท้ายทอย,ต้นคอ"
210,襟髪,えりがみ,ผมท้ายทอย
211,襟首,えりくび,คอเสื้อ
212,襟巻き,えりまき,ผ้าพันคอ
213,襟元,えりもと,บริเวณคอเสื้อ
214,得る,える,ได้รับ
215,獲る,える,"เอามาให้ได้,ได้มา"
216,選る,える,เลือก
217,円,えん,สกุลเงินเยนของประเทศญี่ปุ่น
218,園,えん,สวน... (ที่มนุษย์สร้างขึ้น เช่น สวนสาธารณะ)
219,宴,えん,งานเลี้ยง
220,遠泳,えんえい,การว่ายน้ำระยะทางไกล
221,円価,えんか,ค่าเงินเยน
222,円貨,えんか,สกุลเงินเยน
223,塩化,えんか,การเจือคลอรีนให้เป็นสารประกอบประเภทคลอไรด์
224,演歌・艶歌,えんか,เพลงรำพันถึงความโศกเศร้าแบบญี่ปุ่น มักร้องเล่นลูกคอแบบเพลงลูกทุ่ง
225,宴会,えんかい,"งานเลี้ยง,ปาร์ตี้"
226,延会,えんかい,"การเลื่อนการประชุมสภาไปประชุมต่อในวันต่อมา,การเลื่อนประชุมใหญ่ผู้ถือหุ้น"
227,沿海,えんかい,ชายฝั่ง
228,遠海,えんかい,กลางทะเล
229,塩害,えんがい,"ผลกระทบจากเกลือที่มากับลมจากทะเล,ผลกระทบจากการซึมของน้ำเค็มใต้ดินที่ทำให้ดินเค็ม"
230,煙害,えんがい,โทษของควัน
231,沿革,えんかく,ประวัติความเป็นมา
232,遠隔,えんかく,"ระยะไกล,อยู่ห่างไกลกัน"
233,遠隔操作,えんかくそうさ,"การควบคุมระยะไกล,การบังคับระยะไกล"
234,円滑,えんかつ,"ความราบรื่น,ปรองดอง"
235,円滑に,えんかつに,"อย่างราบรื่น,โดยราบรื่น"
236,縁側,えんがわ,เฉลียงไม้กระดานของบ้านแบบญี่ปุ่น
237,鉛管,えんかん,ท่อตะกั่ว
238,沿岸,えんがん,ชายฝั่ง
239,塩基,えんき,สารที่เป็นด่าง
240,延期,えんき,การเลื่อน(กำหนด วัน เวลา)
241,"<a href=""/dictionary/show/3677"">演技</a>",えんぎ,การแสดง
242,演義,えんぎ,การเล่าเรื่องให้ง่ายและชวนติดตาม
243,縁起,えんぎ,"ลางบอกเหตุ,ประวัติความเป็นมาของวัด"
244,縁起物,えんぎもの,ของที่ประดับไว้เพื่อความเป็นมงคล
245,婉曲,えんきょく,"การพูดอ้อม ๆ,การเลี่ยงไปใช้คำอื่นแทนคำที่ไม่เป็นมงคลหรือไม่เหมาะกับกาละเทศะ"
246,遠距離,えんきょり,"ระยะไกล,ทางไกล"
247,遠近法,えんきんほう,"เทคนิคการเขียนภาพให้ได้ส่วนสัด เช่นเดียวกับที่เห็นด้วยตาจริง,ส่วนสัดที่ปรากฏแก่สายตา"
248,援軍,えんぐん,กองหนุน
249,円形,えんけい,รูปวงกลม
250,園芸,えんげい,การปลูกพืชในสวนหรือเรือนกระจก พืชกรรมสวน
251,演芸,えんげい,มหรสพแบบเก่าของญี่ปุ่น
252,演劇,えんげき,การแสดง(ละคร)
253,演劇部,えんげきぶ,ชมรมการละคร
254,円弧,えんこ,ส่วนโค้งของวงกลม
255,援護,えんご,การช่วยเหลือบรรเทาทุกข์
256,円滑,えんこつ,ราบรื่น
257,怨恨,えんこん,ความโกรธแค้นชิงชัง
258,怨嗟,えんさ,เสียงก่นว่าด้วยความเจ็บแค้น
259,円座,えんざ,การนั่งเป็นวงกลม
260,冤罪,えんざい,"ข้อกล่าวหาเท็จ,ข้อกล่าวหาหรือการกล่าวโทษคนบริสุทธิ์,ความผิดพลาดในกระบวนการยุติธรรม "
261,縁先,えんさき,ริมเฉลียงส่วนที่ติดสวน
262,塩酸,えんさん,"กรดไฮโดรคลอริก,กรดเกลือ"
263,演算,えんざん,การประมวลผล
264,演算回路,えんざんかいろ,วงจรประมวลผล
265,演算機,えんざんき,"หน่วยประมวลผล,โปรเซสเซอร์ (ในคอมพิวเตอร์)"
266,演算時間,えんざんじかん,เวลาในการประมวลผล
267,演算処理ユニット,えんざんしょりユニット,"หน่วยประมวลผลที่ทำหน้าที่คำนวณทางคณิตศาสตร์ และเปรียบเทียบทางตรรกะ,Arithmetic and Logic Unit (ALU)"
268,演算手順,えんざんてじゅん,อัลกอริทึม (คอมพิวเตอร์)
269,遠視,えんし,สายตายาว
270,園児,えんじ,นักเรียนอนุบาล
271,臙脂,えんじ,สีแดงเข้ม
272,遠日点,えんじつてん,จุดในวิถีโคจรของดาวที่ห่างจากดวงอาทิตย์ที่สุด
273,縁者,えんじゃ,ญาติ
274,円周,えんしゅう,เส้นรอบวง
275,演習,えんしゅう,"การฝึกซ้อม,การซ้อมรบ,ชั่วโมงเรียนแบบสัมมนา"
276,円周率,えんしゅうりつ,ค่า Pi (3.1415926..)
277,円熟,えんじゅく,"(วิชาความรู้)แก่กล้า,(นิสัย)สุขุมเป็นผู้ใหญ่"
278,演出,えんしゅつ,1.การอำนวยการสร้าง 2.การเติมสีสันให้กับงานที่จัด 3.ลูกเล่น เอฟเฟค
279,炎暑,えんしょ,ร้อนจัด
280,援助,えんじょ,การช่วยเหลือ การสงเคราะห์ การสนับสนุน
281,延焼,えんしょう,ไฟไหม้ลุกลาม
282,炎症,えんしょう,การอักเสบ
283,焔硝,えんしょう,"ดินปืน,ดินประสิว"
284,煙硝,えんしょう,"ดินปืน,ดินประสิว"
285,艶笑,えんしょう,"การยิ้มยั่วยวน,เรื่องอีโรติกแนวขบขัน"
286,炎上,えんじょう,1.ไฟลุกท่วม 2.บล๊อค หรือ เว็บไซต์ที่ถูกรุมด่า เนื่องจากไปโพสอะไรไม่ดีไว้ 3.ดราม่า
287,炎症止め,えんしょうどめ,ยาลดการอักเสบ
288,援デリ,えんでり,ผู้หญิงขายบริการทางเพศ (ไปหาลูกค้าถึงที่) แบบผิดกฎหมายที่มีนายหน้าคอยช่วยหางานให้ (ไม่ได้ขอใบอนุญาตเปิดกิจการ)
289,演じる,えんじる,แสดงละคร
290,遠心,えんしん,การเหวี่ยงออกจากจุดศูนย์กลาง
291,遠心力,えんしんりょく,"1,แรงเหวี่ยงออกจากจุดศูนย์กลาง 2.แรงดึงดูดคนรอบข้างลดลง"
292,円錐,えんすい,ทรงกรวย
293,塩水,えんすい,น้ำเกลือ
294,演ずる,えんずる,"แสดง(ละคร),สวมบทบาท"
295,遠征,えんせい,1.ออกไปทำศึกหรือแข่งกีฬาไกล ๆ 2.เดินทางไปสำรวจ
296,宴席,えんせき,งานเลี้ยง
297,演説,えんぜつ,"การปราศรัย,การแสดงปาฐกถา"
298,沿線,えんせん,ตลอดสองฟากฝั่งของถนนหรือทางรถไฟ
299,塩素,えんそ,สารคลอรีน
300,"<a href=""/dictionary/show/3750"">演奏</a>",えんそう,การแสดงดนตรี
301,演奏会,えんそうかい,"งานแสดงดนตรี,คอนเสิร์ต"
302,演奏する,えんそうする,บรรเลง
303,円相場,えんそうば,ค่าเงินเยน
304,遠足,えんそく,"การเดินเท้าเพื่อทัศนศึกษาหรือร่วมกิจกรรมทางโรงเรียน,การไปเที่ยวปิกนิกเป็นหมู่คณะ"
305,塩素水,えんそすい,น้ำคลอรีน
306,延滞,えんたい,"การค้างชำระ,การหน่วงเหนี่ยว,การชักช้าจนเลยกำหนด"
307,円高,えんだか,"ค่าเงินเยนแข็งตัวขึ้น,ค่าเงินเยนสูง"
308,演壇,えんだん,เวทีกล่าวปราศรัยหรือแสดงปาฐกถา
309,縁談,えんだん,การทาบทามสู่ขอ
310,円柱,えんちゅう,"เสากลม,แท่งกระบอก"
311,園長,えんちょう,ครูใหญ่(โรงเรียนอนุบาล)
312,延長,えんちょう,"การต่อ(เวลา),ขยาย"
313,延長する,えんちょうする,ต่อ
314,堰堤,えんてい,เขื่อน
315,園丁,えんてい,คนสวน
316,炎天,えんてん,วันที่แดดเปรี้ยงร้อนจัด
317,塩田,えんでん,นาเกลือ
318,円筒,えんとう,"กระบอก,ทรงกระบอก"
319,遠島,えんとう,เกาะกลางทะเล
320,沿道,えんどう,"ข้างทาง,ตามทาง,สองฟากทาง"
321,豌豆,えんどう,ถั่วลันเตา
322,円筒形,えんとうけい,รูปทรงกระบอก
323,豌豆豆,えんどうまめ,ถั่วลันเตา
324,縁遠い,えんどおい,"1.ไม่มีดวงเจอเนื้อคู่,ไม่มีโชคเรื่องคู่ครอง 2.ห่างไกล,ไม่ค่อยเกี่ยวข้อง,แทบไม่ได้ยุ่งเกี่ยว (กับเรื่องราวนั้นๆ) "
325,鉛毒,えんどく,พิษจากตะกั่ว
326,煙突,えんとつ,ปล่องไฟ
327,円内,えんない,ภายในวงกลม
328,園内,えんない,ภายในสวน
329,縁日,えんにち,งานวัด
330,炎熱,えんねつ,ความร้อนแผดเผา
331,延納,えんのう,"การค้างชำระ,การชำระล่าช้า"
332,縁の下の力持ち,えんのしたのちからもち,การปิดทองหลังพระ หรือ ผู้ปิดทองหลังพระ
333,円盤,えんばん,"จานเสียง,แผ่นกลม,จานจักร(กีฬา)"
334,鉛版,えんばん,แผ่นโลหะแม่พิมพ์ที่จำลองตัวเรียงพิมพ์
335,円盤投げ,えんばんなげ,กีฬาขว้างจักร
336,鉛筆,えんぴつ,ดินสอ
337,鉛筆削り,えんぴつけずり,"ที่เหลาดินสอ,กบเหลาดินสอ"
338,鉛筆の心,えんぴつのしん,ไส้ดินสอ
339,円舞曲,えんぶきょく,เพลงวอลทซ์
340,艶福,えんぷく,(ผู้ชาย)เสน่ห์แรง
341,塩分,えんぶん,สัดส่วนหรือส่วนผสมของเกลือในอาหาร
342,艶聞,えんぶん,"ข่าวคาว,ข่าวลือเรื่องรัก ๆ ใคร่ ๆ"
343,掩蔽,えんぺい,"การบดบัง,การปิดบัง"
344,援兵,えんぺい,กองทหารสนับสนุน
345,縁辺,えんぺん,"ขอบ,รอบ ๆ,คนที่อยู่รอบข้าง,คนที่เกี่ยวดองกัน"
346,遠望,えんぼう,การทอดสายตามองไปไกล ๆ
347,遠謀,えんぼう,มองการณ์ไกล
348,遠方,えんぽう,แดนไกล
349,閻魔,えんま,"พญายม,มัจจุราช"
350,煙幕,えんまく,ม่านควันที่ใช้อำพรางตนจากข้าศึก
351,円満,えんまん,"ความกลมเกลียว,ความปรองดอง,(นิสัย)ไม่มีพิษมีภัย"
352,煙霧,えんむ,"หมอกและควัน,หมอกควันที่เป็นอากาศเสีย"
353,縁結び,えんむすび,"การจับคู่ตุนาหงัน,การอธิษฐานขอให้สมหวังในรัก"
354,延命,えんめい,"การต่ออายุขัย,การยืดชีวิต"
355,沿面距離,えんめんきょり,ระยะห่างตามแนวขนานของสิ่งของ 2 สิ่ง
356,演目,えんもく,รายการ หรือ ลำดับ เพลง การแสดง โชว์ต่างๆ ที่เปิดแสดง
357,円安,えんやす,ค่าเงินเยนอ่อนตัวลง
358,園遊会,えんゆうかい,"งานเลี้ยงที่จัดในสวน,อุทยานสโมสร"
359,援用,えんよう,การอ้างพยานหลักฐานหรือคำพูดของบุคคลหนึ่งเพื่อใช้สนับสนุนคำพูดของตน
360,遠洋,えんよう,กลางมหาสมุทร
361,遠来,えんらい,มาจากที่ไกล ๆ
362,遠雷,えんらい,เสียงฟ้าร้องที่ดังมาจากที่ไกล ๆ
363,遠慮,えんりょ,ความเกรงใจ
364,遠慮する,えんりょする,เกรงใจ
365,遠慮なく,えんりょなく,โดยไม่เกรงใจ
366,塩類,えんるい,เกลือแกง
367,艶麗,えんれい,"งดงาม,เฉิดฉาย"
368,円顱,えんろ,"การโกนหัว,สกินเฮด"
369,遠路,えんろ,"แดนไกล,หนทางไกล"
370,英国人,えいこくじん,คนอังกฤษ 
371,塩素系漂白剤,えんそけいひょうはくざい,สารฟอกขาวจำพวกผสมสารคลอรีน
372,MMK,えむえむけい,ฮอตเกิน ป๊อปเกิน (เป็นที่กรี๊ดจากเพศตรงข้ามมากจนลำบากใจ)
373,営利主義,えいりしゅぎ,คนที่มุ่งแต่ผลประโยชน์ คนที่มองแต่ผลประโยชน์เป็นหลัก
374,営利会社,えいりかいしゃ,บริษัทที่มุ่งแต่ผลประโยชน์ บริษัทที่มองแต่ผลประโยชน์เป็นหลัก
375,営利行為,えいりこうい,พฤติกรรมที่มุ่งแต่ผลประโยชน์
376,営利事業,えいりじぎょう,งานที่มุ่งแต่ผลประโยชน์
377,営利資本,えいりしほん,การลงทุนที่มุ่งแต่ผลประโยชน์ เงินลงทุนที่ถูกใช้ที่เพื่อผลประโยชน์
378,営利社団,えいりしゃだん,นิติบุคคลที่ประกอบธุรกิจโดยเ้น้นไปที่ผลประโยชน์ทางการเงินเป็นหลัก
379,営利法人,えいりほうじん,นิติบุคคลที่ประกอบธุรกิจโดยเ้น้นไปที่ผลประโยชน์ทางการเงินเป็นหลัก
